athlete_id,school_slug,name_slug,gender,region,tfrrs_url
8706138,Minnesota,Wanyae_Belle,m,west,https://www.tfrrs.org/athletes/8706138/Minnesota/Wanyae_Belle
8812422,Kansas_City,Tory_Lanham,m,west,https://www.tfrrs.org/athletes/8812422/Kansas_City/Tory_Lanham
8690913,Houston,Jaelyn_Reeves-Lile,m,west,https://www.tfrrs.org/athletes/8690913/Houston/Jaelyn_Reeves-Lile
8331806,Texas_Tech,Shaemar_Uter,m,west,https://www.tfrrs.org/athletes/8331806/Texas_Tech/Shaemar_Uter
9272025,Arizona_State,Amir_Thompson,m,west,https://www.tfrrs.org/athletes/9272025/Arizona_State/Amir_Thompson
9247070,Texas,Jayden_Jones,m,west,https://www.tfrrs.org/athletes/9247070/Texas/Jayden_Jones
8989150,Arkansas,Devyn_Wright,m,west,https://www.tfrrs.org/athletes/8989150/Arkansas/Devyn_Wright
8365733,Texas_Tech,Johnathan_Crawford,m,west,https://www.tfrrs.org/athletes/8365733/Texas_Tech/Johnathan_Crawford
8358114,Minnesota,Zion_Campbell,m,west,https://www.tfrrs.org/athletes/8358114/Minnesota/Zion_Campbell
9230706,Iowa,Jordan_Gross,m,west,https://www.tfrrs.org/athletes/9230706/Iowa/Jordan_Gross
8316982,Texas,Kody_Blackwood,m,west,https://www.tfrrs.org/athletes/8316982/Texas/Kody_Blackwood
9328922,Minnesota,Jayden_Green,m,west,https://www.tfrrs.org/athletes/9328922/Minnesota/Jayden_Green
8671794,UCLA,Gabriel_Clement_II,m,west,https://www.tfrrs.org/athletes/8671794/UCLA/Gabriel_Clement_II
8666362,Arkansas,Jordan_Pierre,m,west,https://www.tfrrs.org/athletes/8666362/Arkansas/Jordan_Pierre
9081897,UC_Irvine,Justin_Johnson,m,west,https://www.tfrrs.org/athletes/9081897/UC_Irvine/Justin_Johnson
7983950,Arkansas,Steven_McElroy,m,west,https://www.tfrrs.org/athletes/7983950/Arkansas/Steven_McElroy
8326309,Houston,Michael_Onilogbo,m,west,https://www.tfrrs.org/athletes/8326309/Houston/Michael_Onilogbo
