athlete_id,name,school,gender,pr_600,pr_800,pr_MILE,pr_5K_(XC),pr_6K_(XC),pr_3_MILE_(XC),pr_1500,pr_5000,pr_3000S,pr_8K_(XC),pr_10K_(XC),pr_1000,pr_3000,pr_3K_(XC),pr_60,pr_100,pr_200,pr_300,pr_400,pr_JT,pr_LJ,pr_TJ,"pr_10,000",pr_60H,pr_100H,pr_400H,pr_HJ,pr_SP,pr_PENT,pr_HEP,pr_PV,pr_110H,pr_DT,pr_HT,pr_WT,pr_DEC,pr_5_MILE_(XC),pr_500,pr_5.846K_(XC),pr_5.85K_(XC),pr_600Y,pr_7.8K_(XC),pr_8.057K_(XC),pr_4_MILE_(XC),pr_3.1_MILE_(XC),pr_4.97_MILE_(XC),pr_55,pr_300H,pr_200H,pr_55H,pr_8.53K_(XC),pr_5.2_MILE_(XC),pr_13.1K_(XC),pr_5.31K_(XC),pr_4K_(XC),pr_3.11_MILE_(XC),pr_4.8K_(XC),pr_2000S,pr_7.162K_(XC),pr_4.17K_(XC),pr_3.71_MILE_(XC),pr_3.74_MILE_(XC),pr_8.4K_(XC),pr_3.72_MILE_(XC),pr_3.73_MILE_(XC),pr_8.078K_(XC),pr_5200,pr_7.86K_(XC),pr_5.4K_(XC),pr_5.6K_(XC),pr_4000,pr_1600,pr_3.10728_MILE_(XC),pr_6.3K_(XC),pr_5.868K_(XC),pr_5.5K_(XC),pr_3.12_MILE_(XC),pr_8000,pr_5.926K_(XC),pr_2.49_MILE_(XC),pr_4.66_MILE_(XC),pr_4.66071_MILE_(XC),pr_7K_(XC),pr_8.018K_(XC),pr_3.1068_MILE_(XC),pr_150,pr_40Y,pr_4X100,pr_2.55_MILE_(XC),pr_3.14_MILE_(XC),pr_4.97097_MILE_(XC),pr_5.8K_(XC),pr_4.9_MILE_(XC),pr_8.05K_(XC),pr_3.107_MILE_(XC),pr_2_MILE,pr_3200,pr_4.5_MILE_(XC),pr_5.75K_(XC),pr_4.95_MILE_(XC),pr_2K_(XC),pr_2.5_MILE_(XC),pr_7.08K_(XC),pr_7.2K_(XC),pr_1500S,pr_5.95K_(XC),pr_8.075K_(XC),pr_2_MILE_(XC),pr_4.1K_(XC),pr_2.9_MILE_(XC),pr_4.1_MILE_(XC),pr_6.2_MILE_(XC),pr_7.25K_(XC),pr_800_METERS_(XC),pr_6.2K_(XC),pr_3.10686_MILE_(XC),pr_7.7K_(XC),pr_2000,pr_5.2K_(XC),pr_6.17K_(XC),pr_6.08K_(XC),pr_3.1K_(XC),pr_4.88K_(XC),pr_5.013K_(XC),pr_8.8K_(XC),pr_4.7K_(XC),pr_6.4K_(XC),pr_8.067K_(XC),pr_3.85_MILE_(XC),pr_6.212K_(XC),pr_3.72825_MILE_(XC),pr_8.369K_(XC)
9276255,Jayla Kennedy,GEORGIA STATE,f,,,,,,,,,,,,,,,7.38,11.34 (1.8),23.51 (1.7),40.33,57.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8699161,Nickolas Miller,USC,m,,,,,,,,,,,,,,,6.84,10.46 (1.7),21.05,34.16,46.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8689862,Mensi Stiff,OLE MISS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17.54m 57' 6.5""",,,,,"51.83m 170' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7936824,Damian Hackett,CORNELL,,,1:47.40,3:56.15,,,,3:36.78,13:48.02,,23:14.8,30:04.4,2:20.42,7:58.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25:59.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7979835,Nathan Mountain,VIRGINIA,m,,,3:54.88,,18:04.8,,3:39.68,13:32.65,8:11.92,23:00.2,29:19.5,,7:46.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5:47.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8990094,Blake Heller,GRAND CANYON,m,,,,,,,,,,,,,,,,,,,,,"7.64m (-0.1) 25' 0.75""","14.13m (1.6) 46' 4.25""",,,,,"2.05m 6' 8.75""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8656026,Gianna Paul,HIGH POINT,f,,3:06.34,,,,,,,,,,,,,7.73,,24.78 (2.4),,,"27.14m 89' 0""","6.24m 20' 5.75""",,,8.54,13.41 (1.4),,"1.73m 5' 8""","9.48m 31' 1.25""",3382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7524761,Edidiong Odiong,FLORIDA STATE,,,,,,,,,,,,,,,,7.23,11.05 (0.9),22.43 (0.9),,54.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8973053,Karamoko Sacko,ARKANSAS,m,,,,,,,,,,,,,,,6.93,10.88 (-0.6),21.59 (2.8),,,,,,,7.59,,,,,,,,13.42 (1.8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8478306,Brandon Hicklin,LSU,,,,,,,,,,,,,,,,6.64,9.96 (4.4),21.68 (0.3),35.14,,,"8.18m (1.0) 26' 10""","14.66m (1.0) 48' 1.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9283716,Sydney Freeman,RICE,f,,,,,,,,,,,,,,,,,25.90,,58.72,,,,,8.70,13.73 (2.0),57.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7908130,Ethan Strand,NORTH CAROLINA,,,1:52.51,3:48.32,14:45.9,,,3:33.22,13:26.60,,22:25.5,28:53.0,,7:30.15,,,,,,,,,,29:43.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8367332,Desmond Duncan,NORTHWESTERN ST.,m,1:27.20,,,,,,,,,,,,,,,10.54 (4.0),21.08 (0.4),,46.21,,,,,,,,,,,,,,,,,,,,,,1:18.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8323996,Paul Olson,NORTH DAKOTA STATE,m,,,,,,,4:46.67,,,,,2:47.87,,,7.04,10.57 (5.8),,,48.53,"60.86m 199' 8""","7.13m (5.9) 23' 4.75""",,,8.39,,,"2.10m 6' 10.75""","13.62m 44' 8.25""",,5667,"4.70m 15' 5""",15.17 (-1.3),"35.47m 116' 4""",,,7601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8676185,Steven Schmidt,OKLAHOMA STATE,m,,,,,,,4:57.60,,,,,2:52.66,,,7.31,11.12 (-0.2),,,50.81,"60.21m 197' 6""","7.24m (1.5) 23' 9""",,,8.31,,,"2.15m 7' 0.5""","13.68m 44' 10.75""",,5531,"4.86m 15' 11.25""",14.51 (1.4),"39.12m 128' 4""",,,7729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8701620,Temitope Adeshina,TEXAS TECH,f,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.97m 6' 5.5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6891927,Dylan Jacobs,TENNESSEE,,,,3:57.67,,,,3:46.54,13:11.01,,22:42.8,28:57.5,2:24.22,7:36.89,,,,,,,,,,28:01.53,,,,,,,,,,,,,,23:26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8618919,Kaden Kingsmith,BRADLEY,m,1:21.87,1:46.74,4:06.91,,,,3:49.58,,,25:53.2,,2:25.88,,,,,,,48.37,,,,,,,,,,,,,,,,,,,,,,,,,,,27:41.2,,,,,,,,,,,,,24:44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8232335,Elizabeth Whaley,WAKE FOREST,f,,2:07.39,4:35.35,,20:09.9,,4:09.78,17:11.17,,,,2:47.87,9:26.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23:44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9242566,Makayla Keck,DUQUESNE,f,,,,,,,,,,,,,,,,,,,,"51.22m 168' 0""",,,,,,,,"10.25m 33' 7.5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8977769,Jeremiah Nubbe,VIRGINIA,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57.57m 188' 10""","73.76m 242' 0""","24.29m 79' 8.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9009603,Jaydon Shield,TEXAS A&M,m,,,,,,,,,,,,,,,,,,,,,,"15.66m (1.8) 51' 4.5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8977339,Evans Kurui,WASHINGTON ST.,m,,,4:03.84,,,,3:42.34,13:16.01,,,,,7:48.44,,,,,,,,,,27:37.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8703021,Kahliyah Anderson,NORTHWESTERN ST.,f,1:47.10,,,,,,,,,,,,,,7.86,12.08 (5.9),24.07 (2.6),,54.44,,,,,,,1:02.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8986269,Ethan Palmer,NEW HAMPSHIRE,m,,,,,,,,,,,,,,,,11.42 (0.8),25.10,,,,"7.37m (1.6) 24' 2.25""","15.51m (2.4) 50' 10.75""",,8.90,,,"1.77m 5' 9.75""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9249795,Dashayla Wordlaw,CINCINNATI,f,,2:26.83,,,,,,,,,,,,,,11.79 (0.6),24.06 (2.6),,,"22.29m 73' 1""","5.66m (1.9) 18' 7""",,,,14.44 (-1.2),,"1.80m 5' 10.75""","9.71m 31' 10.25""",,4792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9283829,Sacha Rifflart,MISS STATE,m,,,,,,,4:33.02,,,,,2:45.14,,,7.20,10.97 (1.2),,,49.17,"49.49m 162' 4""","7.21m (3.3) 23' 8""",,,8.18,,,"1.90m 6' 2.75""","13.91m 45' 7.75""",,5518,"4.50m 14' 9""",14.19 (0.6),"39.09m 128' 3""",,,7507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7972453,Devin Roberson,TEXAS TECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17.68m 58' 0.25""",,,,,"60.98m 200' 1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8713888,Kileigh Mixon,OKLAHOMA STATE,f,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.76m 5' 9.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8703922,Janiah Pulliam,UCF,f,,,,,,,,,,,,,,,7.56,,22.96 (3.0),38.95,52.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9237173,Thomas Bucks,PENN,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.20m 17' 0.75""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7980790,Jake Kubiatowicz,MINNESOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16.30m 53' 5.75""",,,,,"56.44m 185' 2""","72.40m 237' 6""","21.31m 69' 11""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9252970,Wesley Badenhorst,TENNESSEE,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16.38m 53' 9""",,,,,"58.22m 191' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6987154,Amanda Howe,IOWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42.08m 138' 1""","64.84m 212' 9""","21.78m 71' 5.5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8378751,Aaron Antoine,KANSAS STATE,m,,,,,,,,,,,,,,,,,,,,,,"16.60m 54' 5.5""",,,,,"2.19m 7' 2.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9272518,Jason Patrick,NORTH TEXAS,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57.81m 189' 8""","66.05m 216' 8""","18.73m 61' 5.5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8946556,Precious Umukoro,NORTHERN ILLINOIS,f,,,,,,,,,,,,,,,7.91,12.43 (5.6),,,,,"6.03m (1.9) 19' 9.5""","12.85m (1.5) 42' 2""",,,,,,"11.84m 38' 10.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8980260,Keira Stewart,MORGAN STATE,f,,,,,,,,,,,,,,,7.79,12.20 (1.6),25.34 (0.2),,59.25,,"6.22m (2.9) 20' 5""","12.21m (2.0) 40' 0.75""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9263309,Maddi Cooper,GEORGIA,f,,,,,,,,,,,,,,,,11.52 (-0.4),,,,,,,,7.99,13.14 (0.6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9245391,Kamree Wolridge,HOUSTON,f,,,,,,,,,,,,,,,,,24.57 (3.0),38.97,54.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8321319,Allison Neiders,DUKE,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.32m 14' 2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8970034,Indya Mayberry,TCU,f,,,,,,,,,,,,,,,7.11,10.91 (3.9),22.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8273658,India Jones,AIR FORCE,f,,,4:52.27,,20:02.3,17:18.0,4:38.69,15:50.82,,,,,9:33.80,,,,,,,,,,33:08.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9271764,Robyn Larkan,HAWAII,f,,,,,,,,,,,,,,,7.52,11.81 (1.4),24.35 (1.6),,,,,,,8.38,13.44 (1.9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8244481,Ashley Reeck,IDAHO STATE,f,,2:16.89,5:03.84,17:20.3,20:35.3,,4:33.80,16:39.03,10:06.91,,,,9:46.13,,,,,,,,,,36:29.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:38.6,,,,,16:06.8,21:58.9,21:24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7725119,Shelby Frank,TEXAS TECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.60m 44' 7.5""",,,,,"63.37m 207' 11""","71.05m 233' 1""","24.14m 79' 2.5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8703056,Esteisy Salas,SOUTH FLORIDA,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16.25m 53' 3.75""",,,,,,"45.28m 148' 7""","15.36m 50' 4.75""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9288711,Kevin Kemboi,OKLAHOMA STATE,m,,,,,,,,,,,,,,,,,,,,,"7.69m (1.3) 25' 2.75""","16.64m (0.2) 54' 7.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9003279,Ava Roberts,NORTH TEXAS,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.58m 51' 1.5""",,,,,"49.10m 161' 1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8975723,Jahnel Bowman,INDIANA STATE,f,,,,,,,,,,,,,,,,,24.52 (1.2),41.48,55.63,,"5.79m (1.1) 19' 0""","12.80m 42' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9281025,Barnabas Ndiwa,KANSAS,m,,,,,17:52.2,,,13:50.10,,23:28.9,,,8:10.11,,,,,,,,,,28:28.51,,,,,,,,,,,,,,,,,,,,,18:09.9,,,,,,,,,1:03:47.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9000455,Austen Diggs,BAYLOR,m,,,,,,,,,,,,,,,6.73,10.31 (3.5),20.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9013629,Julian Mccullough,OKLAHOMA,m,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.19m 7' 2.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8982748,Jazmyn James,MEMPHIS,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16.54m 54' 3.25""",,,,,"54.93m 180' 2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8321876,Mason Lawyer,ARIZONA,m,,,,,,,,,,,,,,,6.49,9.93 (3.9),20.02 (-0.1),33.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8376104,Mayyi Mahama,UCLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.71m 44' 11.75""",,,,,"41.65m 136' 8""","68.69m 225' 4""","21.76m 71' 4.75""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8986588,Garrett Copelin,BYU,m,,,,,,,,,,,,,,,,11.42 (+0.0),21.91 (3.7),,,,,,,8.07,,50.53,,,,,,13.75 (3.8),,,,,,,,,1:15.54,,,,,,,,,7.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8978238,Kathryn Meacham,KANSAS,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51.17m 167' 10""","57.83m 189' 9""","17.46m 57' 3.5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8982898,Naomi London,TEXAS,f,,,,,,,,,,,,,,,7.53,11.32 (2.2),23.03 (0.8),,56.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8531586,Cyrus Ways,KANSAS STATE,m,,,,,,,,,,,,,,,,,21.67,,48.10,,,,,7.96,,51.46,,,,,,14.00 (5.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8978668,Thomas Hinton,CHARLOTTE,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60.06m 197' 0""","61.78m 202' 8""","20.11m 65' 11.75""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8658809,Isaac Hedengren,BYU,m,,,3:59.69,,,,3:50.48,13:28.55,8:30.01,23:21.2,31:27.8,,7:41.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8700046,Chioma Nwachukwu,IOWA,f,1:30.43,,,,,,,,,,,,,,,,22.96 (0.1),,51.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8235254,Tom Heal,MIAMI (OHIO),m,,1:57.53,4:06.09,15:00.6,,,3:46.49,14:50.11,8:47.85,24:29.7,30:56.3,,8:13.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8695070,Mohamed Diaby,KENNESAW STATE,m,,,,,,,,,,,,,,,6.83,,21.06 (0.5),34.71,49.55,,,,,7.79,,57.10,,,,,,13.45 (2.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
